IPTV收视指南,rtp://239.3.1.193:8012
IPTV热播剧场,rtp://239.3.1.194:9020
IPTV经典电影,rtp://239.3.1.195:9024
IPTV魅力时尚,rtp://239.3.1.196:9012
IPTV少儿动画,rtp://239.3.1.199:9000
城市剧场,rtp://239.3.1.67:4120
军旅剧场,rtp://239.3.1.68:4120
古装剧场,rtp://239.3.1.69:4120
音乐现场,rtp://239.3.1.70:4120
地理,rtp://239.3.1.71:4120
美妆,rtp://239.3.1.72:4120
美人,rtp://239.3.1.73:4120
精选,rtp://239.3.1.74:4120
解密,rtp://239.3.1.75:4120
军事,rtp://239.3.1.76:4120
国学,rtp://239.3.1.77:4120
戏曲,rtp://239.3.1.78:4120
早教,rtp://239.3.1.79:4120
动画,rtp://239.3.1.80:4120
好学生,rtp://239.3.1.81:4120
鉴赏,rtp://239.3.1.82:4120
墨宝,rtp://239.3.1.83:4120
光影,rtp://239.3.1.84:4120
四大名著,rtp://239.3.1.85:4120
爱生活,rtp://239.3.1.86:4120
武术,rtp://239.3.1.87:4120
古早影院,rtp://239.3.1.88:4120
足球,rtp://239.3.1.89:4120
武侠剧场,rtp://239.3.1.90:4120
喜剧影院,rtp://239.3.1.91:4120
动作影院,rtp://239.3.1.92:4120
家庭影院,rtp://239.3.1.93:4120
星影,rtp://239.3.1.94:4120
聚鲨环球精选1,rtp://239.3.1.160:8001
聚鲨环球精选2,rtp://239.3.1.179:8001
优购物1,rtp://239.3.1.180:8001
优购物2,rtp://239.3.1.190:8001
时尚购物1,rtp://239.3.1.181:8001
时尚购物2,rtp://239.3.1.191:8001
家有购物1,rtp://239.3.1.185:8001
家有购物2,rtp://239.3.1.186:8001
央广购物1,rtp://239.3.1.222:8001
央广购物2,rtp://239.3.1.223:8001
