全量更新,#genre#
西藏卫视,http://123.118.53.50:8686/rtp/239.3.1.166:8188$北京联通
新疆卫视,http://123.118.53.50:8686/rtp/239.3.1.167:8192$北京联通
兵团卫视,http://123.118.53.50:8686/rtp/239.3.1.168:8196$北京联通
四川卫视,http://123.118.53.50:8686/rtp/239.3.1.29:8288$北京联通
海南卫视,http://123.118.53.50:8686/rtp/239.3.1.45:8304$北京联通
内蒙古卫视,http://123.118.53.50:8686/rtp/239.3.1.43:8176$北京联通
陕西卫视,http://123.118.53.50:8686/rtp/239.3.1.41:8140$北京联通
广西卫视,http://123.118.53.50:8686/rtp/239.3.1.39:8300$北京联通
山西卫视,http://123.118.53.50:8686/rtp/239.3.1.42:8172$北京联通
青海卫视,http://123.118.53.50:8686/rtp/239.3.1.44:8184$北京联通
云南卫视,http://123.118.53.50:8686/rtp/239.3.1.26:8108$北京联通
厦门卫视,http://123.118.53.50:8686/rtp/239.3.1.143:4120$北京联通
三沙卫视,http://123.118.53.50:8686/rtp/239.3.1.155:4120$北京联通
北京卫视4K,http://123.118.53.50:8686/rtp/239.3.1.118:8001$北京联通
湖南卫视4K,http://123.118.53.50:8686/rtp/239.3.1.112:3002$北京联通
江苏卫视4K,http://123.118.53.50:8686/rtp/239.3.1.113:3003$北京联通
浙江卫视4K,http://123.118.53.50:8686/rtp/239.3.1.114:3004$北京联通
东方卫视4K,http://123.118.53.50:8686/rtp/239.3.1.119:3006$北京联通
广东卫视4K,http://123.118.53.50:8686/rtp/239.3.1.203:2000$北京联通
深圳卫视4K,http://123.118.53.50:8686/rtp/239.3.1.202:2000$北京联通
山东卫视4K,http://123.118.53.50:8686/rtp/239.3.1.144:3005$北京联通
四川卫视4K,http://123.118.53.50:8686/rtp/239.3.1.131:3001$北京联通
金鹰纪实,http://123.118.53.50:8686/rtp/239.3.1.58:8156$北京联通
快乐垂钓,http://123.118.53.50:8686/rtp/239.3.1.164:8001$北京联通
茶频道,http://123.118.53.50:8686/rtp/239.3.1.165:8001$北京联通
中国交通,http://123.118.53.50:8686/rtp/239.3.1.188:8001$北京联通
山东教育卫视,http://123.118.53.50:8686/rtp/239.3.1.52:4120$北京联通
金鹰卡通,http://123.118.53.50:8686/rtp/239.3.1.51:9252$北京联通
嘉佳卡通,http://123.118.53.50:8686/rtp/239.3.1.147:9268$北京联通
证券服务,http://123.118.53.50:8686/rtp/239.3.1.24:8001$北京联通
财富天下,http://123.118.53.50:8686/rtp/239.3.1.53:9136$北京联通
睛彩竞技,http://123.118.53.50:8686/rtp/239.3.1.125:8001$北京联通
睛彩篮球,http://123.118.53.50:8686/rtp/239.3.1.126:8001$北京联通
睛彩青少年,http://123.118.53.50:8686/rtp/239.3.1.127:8001$北京联通
睛彩广场舞,http://123.118.53.50:8686/rtp/239.3.1.128:8001$北京联通
爱上4K,http://123.118.53.50:8686/rtp/239.3.1.236:2000$北京联通
IPTV收视指南,http://123.118.53.50:8686/rtp/239.3.1.193:8012$北京联通
IPTV热播剧场,http://123.118.53.50:8686/rtp/239.3.1.194:9020$北京联通
IPTV经典电影,http://123.118.53.50:8686/rtp/239.3.1.195:9024$北京联通
IPTV魅力时尚,http://123.118.53.50:8686/rtp/239.3.1.196:9012$北京联通
IPTV少儿动画,http://123.118.53.50:8686/rtp/239.3.1.199:9000$北京联通
城市剧场,http://123.118.53.50:8686/rtp/239.3.1.67:4120$北京联通
军旅剧场,http://123.118.53.50:8686/rtp/239.3.1.68:4120$北京联通
古装剧场,http://123.118.53.50:8686/rtp/239.3.1.69:4120$北京联通
音乐现场,http://123.118.53.50:8686/rtp/239.3.1.70:4120$北京联通
地理,http://123.118.53.50:8686/rtp/239.3.1.71:4120$北京联通
美妆,http://123.118.53.50:8686/rtp/239.3.1.72:4120$北京联通
美人,http://123.118.53.50:8686/rtp/239.3.1.73:4120$北京联通
精选,http://123.118.53.50:8686/rtp/239.3.1.74:4120$北京联通
解密,http://123.118.53.50:8686/rtp/239.3.1.75:4120$北京联通
军事,http://123.118.53.50:8686/rtp/239.3.1.76:4120$北京联通
国学,http://123.118.53.50:8686/rtp/239.3.1.77:4120$北京联通
戏曲,http://123.118.53.50:8686/rtp/239.3.1.78:4120$北京联通
早教,http://123.118.53.50:8686/rtp/239.3.1.79:4120$北京联通
动画,http://123.118.53.50:8686/rtp/239.3.1.80:4120$北京联通
好学生,http://123.118.53.50:8686/rtp/239.3.1.81:4120$北京联通
鉴赏,http://123.118.53.50:8686/rtp/239.3.1.82:4120$北京联通
墨宝,http://123.118.53.50:8686/rtp/239.3.1.83:4120$北京联通
光影,http://123.118.53.50:8686/rtp/239.3.1.84:4120$北京联通
四大名著,http://123.118.53.50:8686/rtp/239.3.1.85:4120$北京联通
爱生活,http://123.118.53.50:8686/rtp/239.3.1.86:4120$北京联通
武术,http://123.118.53.50:8686/rtp/239.3.1.87:4120$北京联通
古早影院,http://123.118.53.50:8686/rtp/239.3.1.88:4120$北京联通
足球,http://123.118.53.50:8686/rtp/239.3.1.89:4120$北京联通
武侠剧场,http://123.118.53.50:8686/rtp/239.3.1.90:4120$北京联通
喜剧影院,http://123.118.53.50:8686/rtp/239.3.1.91:4120$北京联通
动作影院,http://123.118.53.50:8686/rtp/239.3.1.92:4120$北京联通
家庭影院,http://123.118.53.50:8686/rtp/239.3.1.93:4120$北京联通
星影,http://123.118.53.50:8686/rtp/239.3.1.94:4120$北京联通
北京卫视,http://114.254.153.52:4022/rtp/239.3.1.241:8000$北京联通
北京文艺,http://114.254.153.52:4022/rtp/239.3.1.242:8000$北京联通
北京体育休闲,http://114.254.153.52:4022/rtp/239.3.1.243:8000$北京联通
北京影视,http://114.254.153.52:4022/rtp/239.3.1.158:8000$北京联通
北京财经,http://114.254.153.52:4022/rtp/239.3.1.116:8000$北京联通
北京生活,http://114.254.153.52:4022/rtp/239.3.1.117:8000$北京联通
北京新闻,http://114.254.153.52:4022/rtp/239.3.1.159:8000$北京联通
北京卡酷少儿,http://114.254.153.52:4022/rtp/239.3.1.189:8000$北京联通
北京纪实科教,http://114.254.153.52:4022/rtp/239.3.1.115:8000$北京联通
北京国际,http://114.254.153.52:4022/rtp/239.3.1.235:8000$北京联通
北京IPTV4K超清,http://114.254.153.52:4022/rtp/239.3.1.249:8001$北京联通
北京IPTV淘精彩,http://114.254.153.52:4022/rtp/239.3.1.178:8001$北京联通
北京IPTV淘剧场,http://114.254.153.52:4022/rtp/239.3.1.95:8001$北京联通
北京IPTV淘电影,http://114.254.153.52:4022/rtp/239.3.1.250:8001$北京联通
北京IPTV淘娱乐,http://114.254.153.52:4022/rtp/239.3.1.100:8001$北京联通
北京IPTV淘BABY,http://114.254.153.52:4022/rtp/239.3.1.238:8001$北京联通
北京IPTV萌宠TV,http://114.254.153.52:4022/rtp/239.3.1.102:8001$北京联通
北京IPTV重温经典,http://114.254.153.52:4022/rtp/239.3.1.25:8001$北京联通
朝阳融媒,http://114.254.153.52:4022/rtp/239.3.1.163:8001$北京联通
通州区,http://114.254.153.52:4022/rtp/239.3.1.221:8001$北京联通
门头沟区,http://114.254.153.52:4022/rtp/239.3.1.59:8001$北京联通
房山,http://114.254.153.52:4022/rtp/239.3.1.96:8001$北京联通
密云,http://114.254.153.52:4022/rtp/239.3.1.154:8001$北京联通
延庆区,http://114.254.153.52:4022/rtp/239.3.1.187:8001$北京联通
平谷区,http://114.254.153.52:4022/rtp/239.3.1.154:8001$北京联通
CCTV-1综合,http://114.254.153.52:4022/rtp/239.3.1.129:8008$北京联通
CCTV-2财经,http://114.254.153.52:4022/rtp/239.3.1.60:8084$北京联通
CCTV-3综艺,http://114.254.153.52:4022/rtp/239.3.1.172:8001$北京联通
CCTV-4中文国际,http://114.254.153.52:4022/rtp/239.3.1.105:8092$北京联通
