# 更新时间: 2025-12-11 21:41:46（北京时间）
# 数据来源: https://github.com/kakaxi-1

央视频道,#genre#
CCTV-1综合,http://113.251.225.132:7788/rtp/235.254.199.51:7980$重庆电信
CCTV-1综合,http://125.94.180.54:8686/rtp/239.77.0.86:5146$HD$广东电信
CCTV-1综合,http://125.94.180.54:8686/rtp/239.77.0.119:5146$HD$广东电信
CCTV-1综合,http://125.94.180.54:8686/rtp/239.77.0.129:5146$HD$广东电信
CCTV-1综合,http://125.94.180.54:8686/rtp/239.77.1.17:5146$HD$广东电信
CCTV-1综合,http://125.94.180.54:8686/rtp/239.77.1.144:5146$HD$广东电信
CCTV-1综合,http://125.94.180.54:8686/rtp/239.77.1.76:5146$HD$广东电信
CCTV-1综合,http://183.30.202.49:8000/rtp/239.77.0.86:5146$HD$广东电信
CCTV-1综合,http://183.30.202.49:8000/rtp/239.77.0.119:5146$HD$广东电信
CCTV-1综合,http://183.30.202.49:8000/rtp/239.77.0.129:5146$HD$广东电信
CCTV-1综合,http://183.30.202.49:8000/rtp/239.77.1.17:5146$HD$广东电信
CCTV-1综合,http://183.30.202.49:8000/rtp/239.77.1.144:5146$HD$广东电信
CCTV-1综合,http://183.30.202.49:8000/rtp/239.77.1.76:5146$HD$广东电信
CCTV-2财经,http://171.109.52.114:4022/udp/239.81.0.115:4056$广西电信
CCTV-2财经,http://111.113.89.137:2000/rtp/239.121.4.155:8914$宁夏电信
CCTV-2财经,http://115.205.137.236:55555/rtp/233.50.201.119:5140$浙江电信
CCTV-2财经,http://171.127.42.118:4022/rtp/226.0.2.154:9144$山西联通
CCTV-2财经,http://116.233.63.135:5555/rtp/233.18.204.68:5140$上海电信
CCTV-2财经,http://116.233.63.135:5555/rtp/239.45.0.1:5140$上海电信
CCTV-2财经,http://116.233.63.135:5555/rtp/239.45.3.208:5140$上海电信
CCTV-2财经,http://116.28.124.155:5000/rtp/239.77.0.137:5146$HD$广东电信
CCTV-2财经,http://116.28.124.155:5000/rtp/239.77.1.158:5146$HD$广东电信
CCTV-2财经,http://116.28.124.155:5000/rtp/239.253.43.17:5146$AVS$广东电信
CCTV-2财经,http://124.78.13.23:4022/rtp/233.18.204.68:5140$上海电信
CCTV-2财经,http://124.78.13.23:4022/rtp/239.45.0.1:5140$上海电信
CCTV-2财经,http://124.78.13.23:4022/rtp/239.45.3.208:5140$上海电信
CCTV-2财经,http://116.233.22.3:4022/rtp/233.18.204.68:5140$上海电信
CCTV-2财经,http://116.233.22.3:4022/rtp/239.45.0.1:5140$上海电信
CCTV-2财经,http://116.233.22.3:4022/rtp/239.45.3.208:5140$上海电信
CCTV-2财经,http://115.171.216.39:4000/rtp/225.1.8.2:8084$北京电信
CCTV-2财经,http://115.171.216.39:4000/rtp/225.1.8.102:8004$北京电信
CCTV-2财经,http://113.67.180.77:10000/rtp/239.77.0.137:5146$HD$广东电信
CCTV-2财经,http://113.67.180.77:10000/rtp/239.77.1.158:5146$HD$广东电信
CCTV-2财经,http://113.67.180.77:10000/rtp/239.253.43.17:5146$AVS$广东电信
CCTV-2财经,http://171.213.152.187:8000/rtp/239.93.1.23:6000$四川电信
CCTV-2财经,http://115.45.250.14:8888/rtp/239.77.0.137:5146$HD$广东电信
CCTV-2财经,http://115.45.250.14:8888/rtp/239.77.1.158:5146$HD$广东电信
CCTV-2财经,http://115.45.250.14:8888/rtp/239.253.43.17:5146$AVS$广东电信
CCTV-2财经,http://113.17.153.2:8001/udp/239.81.0.115:4056$广西电信
CCTV-2财经,http://113.110.203.209:55555/rtp/239.77.0.137:5146$HD$广东电信
CCTV-2财经,http://113.110.203.209:55555/rtp/239.77.1.158:5146$HD$广东电信
CCTV-2财经,http://113.110.203.209:55555/rtp/239.253.43.17:5146$AVS$广东电信
CCTV-2财经,http://124.64.223.204:8686/rtp/239.3.1.60:8084$北京联通
